system,initial_site,jmax_cm,gamma_bio_cm,gamma_bio_over_jmax,theta_min_bio_deg,chi_bio,gamma_opt_cm,gamma_opt_over_jmax,theta_min_opt_deg,chi_opt,eta_opt
FMO,0,87.7,100.0,1.1402508551881414,87.65469196488193,0.0005721029954201903,134.13478976398622,1.5294730873886684,87.95255923135795,0.00041672026725159,0.815591257619271
FMO,5,87.7,100.0,1.1402508551881414,87.68658563900347,0.0005113683985757068,134.13478976398622,1.5294730873886684,87.9742002570894,0.00037712069600272566,0.8321785976642104
PE545,0,92.0,725.0,7.880434782608695,89.02359461719924,8.652092676526226e-05,723.7111702958664,7.866425764085505,89.02270841386891,8.667119009226068e-05,0.9424964186820264
PE545,5,92.0,725.0,7.880434782608695,89.0212391777793,8.953907872025239e-05,723.7111702958664,7.866425764085505,89.02031395587532,8.970586432780947e-05,0.9404689683969367
