system,dimension,collapse,source,n_initial_sites,jmax_cm,gamma_bio_over_jmax,theta_min_bio_mean_deg,theta_min_bio_min_deg,theta_min_bio_max_deg,chi_bio_mean,load_bio_mean,gamma_opt_over_jmax_mean,gamma_opt_over_jmax_min,gamma_opt_over_jmax_max,theta_min_opt_mean_deg,theta_min_opt_min_deg,theta_min_opt_max_deg,chi_opt_mean,load_opt_mean,eta_opt_mean,eta_opt_min,eta_opt_max
FMO,7,48->6,rebuilt-validated,2,87.7,1.1402508551881414,87.6706388019427,87.65469196488193,87.68658563900347,0.0005417356969979485,0.022752899273913836,1.5294730873886684,1.5294730873886684,1.5294730873886684,87.96337974422367,87.95255923135795,87.9742002570894,0.0003969204816271578,0.016670660228340628,0.8238849276417407,0.815591257619271,0.8321785976642104
PE545,8,63->7,rebuilt-validated,2,92.0,7.880434782608695,89.02241689748926,89.0212391777793,89.02359461719924,8.803000274275732e-05,0.00492968015359441,7.866425764085505,7.866425764085505,7.866425764085505,89.02151118487211,89.02031395587532,89.02270841386891,8.818852721003507e-05,0.004938557523761964,0.9414826935394816,0.9404689683969367,0.9424964186820264
