gamma_over_j,gamma_cm,eta,theta_min_deg,chi
0.01,0.3,0.6637082815005201,46.05112987885009,0.35390463377212616
0.01395982751565989,0.41879482546979674,0.6607261690766585,51.312058885833544,0.27334215324802935
0.019487678426697488,0.5846303528009247,0.6570349980105914,56.629100621494466,0.20007340048186753
0.027204462951734322,0.8161338885520296,0.6526630714313343,61.99690960207169,0.13665911045706822
0.037976961046237066,1.139308831387112,0.6477756504744123,67.47886519314385,0.08486534656426807
0.0530151825774404,1.590455477323212,0.6426964154908127,73.12637971186619,0.04585349167694567
0.07400828044922854,2.220248413476856,0.6378503866946255,78.80506349680488,0.020136727285413884
0.10331428298018139,3.0994284894054416,0.6336027570967584,84.0012648397141,0.006721182446016408
0.14422495703074084,4.326748710922225,0.6300615253296599,86.87248928745515,0.00200472041086261
0.20133555236026013,6.040066570807804,0.627000303961495,87.3897571285618,0.0010332948258633455
0.281060958371934,8.43182875115802,0.6239779198562486,87.95515453497251,0.0007766655645713855
0.39235625002582636,11.770687500774791,0.6205226936946172,88.45763396485371,0.0005771916346157193
0.5477225575051662,16.431676725154986,0.616212226933752,88.51951369158283,0.0004466657091504866
0.7646112429208222,22.938337287624666,0.6106282163294822,88.52915171263977,0.000373915760228436
1.0673841067708996,32.02152320312699,0.6032306941872989,88.53632522947375,0.00033261768327636984
1.4900498023478466,44.701494070435395,0.5932084386231151,88.54603873989528,0.00030803476737831904
2.080083823051904,62.40251469155712,0.5793984107318254,88.55645554311384,0.0002928374769566843
2.9037611387918973,87.11283416375692,0.560287052148656,88.56468465532413,0.00028282976789535024
4.0536004644211046,121.60801393263314,0.5340389411819599,88.56883203351804,0.00027579538236340766
5.658756330071741,169.76268990215223,0.4986023257175992,88.56137431784003,0.0002736085071183264
7.8995262320950035,236.9857869628501,0.4520814180565598,88.52660368421762,0.0002822961841670863
11.027602365547697,330.8280709664309,0.39363661183325666,88.4574982585775,0.00030447434819025435
15.394342693432876,461.8302808029863,0.3248516851607641,88.3665526856292,0.0003352104108061346
21.490236871728193,644.7071061518458,0.2506219177202366,88.27912585616187,0.00036531233216825055
29.999999999999996,899.9999999999999,0.17844870264343,88.22597940052862,0.0003839327753895597
