inner_delta_cm,j_nnn_cm,gamma_over_j,theta_min_deg,chi,local_load
10.0,0.0,6.666666666666667,88.55074533755919,0.00027556163980543754,0.0033067396776652507
10.0,5.0,6.666666666666667,88.61408923477987,0.00025861310345557775,0.003103357241466933
10.0,10.0,6.666666666666667,88.76670459287985,0.00021993128646652848,0.002639175437598342
15.0,0.0,6.666666666666667,88.54858845425703,0.00027617571151781524,0.003314108538213783
15.0,5.0,6.666666666666667,88.60914555532979,0.0002598104604583932,0.0031177255255007185
15.0,10.0,6.666666666666667,88.7605683570513,0.00022134848467118002,0.00265618181605416
20.0,0.0,6.666666666666667,88.54557176063284,0.00027703621433324075,0.003324434571998889
20.0,5.0,6.666666666666667,88.60338192944165,0.0002612459443282819,0.003134951331939383
20.0,10.0,6.666666666666667,88.7536981843631,0.00022297857034162785,0.0026757428440995342
