model,dimension,gamma_over_j,gamma_cm,jmax_cm,theta_min_deg,chi,trace_after_readout
Synthetic gamma,10,1.0,250.0,250.0,89.42787462988096,3.2899523524567106e-05,0.6292654995449951
Synthetic gamma,10,10.0,2500.0,250.0,89.74039519615692,5.58418622947275e-06,0.6187118895471805
Synthetic gamma,10,50.0,12500.0,250.0,89.78242720143716,3.723900113246941e-06,0.615610152389796
Laminar E/I,8,1.0,250.0,250.0,89.34215135269702,5.5175253678976296e-05,0.5683163505279705
Laminar E/I,8,10.0,2500.0,250.0,89.63883182201504,1.3162697471823937e-05,0.6012637939526564
Laminar E/I,8,50.0,12500.0,250.0,89.65577110423958,1.1071353238433507e-05,0.7554599808122686
