band,frequency_hz,f_over_f0,r_phase_over_r0,r_eff_over_r0,n_payload_soft_analytic,n_payload_soft_heterogeneous,n_payload_rel_analytic,n_payload_rel_heterogeneous,leff_hetero_varrho_1,leff_hetero_varrho_10,leff_hetero_varrho_100
Gamma,40.0,1.0,1.0,0.9701425001453319,10000.0,10000.0,1.0,1.0,33.14108538213783,3.314108538213783,0.3314108538213783
Beta,20.0,0.5,2.0,1.7888543819998317,34000.0,31707.53722011017,3.4,3.170753722011017,105.08221982689844,10.508221982689843,1.0508221982689845
Theta,6.0,0.15,6.666666666666667,3.429971702850177,125000.00000000001,102871.44911444059,12.500000000000002,10.28714491144406,340.92714784859226,34.092714784859226,3.4092714784859224
Delta,2.0,0.05,20.0,3.9223227027636804,163461.53846153844,132832.74640662904,16.346153846153843,13.283274640662905,440.22213902059553,44.022213902059555,4.4022213902059555
Infraslow,0.5,0.0125,80.0,3.9950093555113786,169576.05985037403,137848.1049203864,16.957605985037404,13.78481049203864,456.84358149324197,45.6843581493242,4.568435814932419
