gamma_over_j,gamma_cm,eta
0.01,0.26,0.34048141551966193
0.01395982751565989,0.36295551540715715,0.345675222052398
0.019487678426697488,0.5066796390941347,0.3523808709896576
0.027204462951734322,0.7073160367450924,0.36079384711841034
0.037976961046237066,0.9874009872021637,0.3709552974903084
0.0530151825774404,1.3783947470134505,0.3826372365720294
0.07400828044922854,1.924215291679942,0.39525414184399893
0.10331428298018139,2.686171357484716,0.40788120287339985
0.14422495703074084,3.7498488827992618,0.41944135614442396
0.20133555236026013,5.234724361366763,0.4290088201320053
0.281060958371934,7.307584917670284,0.4360298728008277
0.39235625002582636,10.201262500671485,0.4402856000177058
0.5477225575051662,14.240786495134321,0.44168571092193204
0.7646112429208222,19.879892315941376,0.44012006371903917
1.0673841067708996,27.75198677604339,0.4353480441747418
1.4900498023478466,38.74129486104401,0.4267963674483178
2.080083823051904,54.082179399349506,0.4134192190223836
2.9037611387918973,75.49778960858933,0.3937950104381891
4.0536004644211046,105.39361207494872,0.3663661089822287
5.658756330071741,147.12766458186528,0.329786741482661
7.8995262320950035,205.3876820344701,0.2836004859618983
11.027602365547697,286.71766150424014,0.22936320366790325
15.394342693432876,400.25291002925474,0.17152678408391916
21.490236871728193,558.746158664933,0.11682196110374055
29.999999999999996,779.9999999999999,0.07175032877217491
